District,Gd,General_NGI,Lethality Ratio,Average_Resource_Score,IAR,Hex_Covered_1hr,District_Area_km2
Colombo,0.2293578,170.227615,0.020138074,1,0.8125,870,693
Gampaha,0.74074074,1330.81899,0.018501243,0.364530465,0.454545455,1742,1418
Kalutara,35.0667939,105237.662,0.009941106,0.140717374,0.5,1361,1647
Kandy,5.17453799,13321.7223,0.01721603,0.194261225,0.777777778,2309,1927
Matale,50.9600614,32653.6394,0.012457813,0.268343537,1,1277,2058
Nuwara Eliya,8.23045268,18840.0356,0.011828424,0.057599456,1,2007,1745
Galle,13.3301018,28039.9557,0.019843181,0.148854591,1,1788,1617
Matara,21.350365,32285.3308,0.012136618,0.130814142,1,1293,1317
Hambantota,55.8386412,95873.4775,0.012663806,0.122933801,0.6,1456,2627
Jaffna,20.4174229,15248.1924,0.014253936,0.229040254,0.4,877,1298
Kilinochchi,63.3986928,31186.6967,0.003404338,0.064998487,0.5,616,1565
Mannar,84.0784314,32303.8184,0.007305936,0.050578128,0.5,406,2047
Vavunia,70.523416,18290.3207,0.01444495,0.1099235,0.5,749,1934
Mullaitivu,75.2973468,127542.121,0.005108992,0.026224903,0.25,810,2681
Batticaloa,72.1078248,155491.271,0.006894571,0.095464951,0.6,745,2623
Ampara,78.6815524,115272.996,0.007675611,0.263689937,0.1,1203,4476
Trincomalee,73.9543162,114569.429,0.006846189,0.056822711,0.4,878,2799
Kurunegala,31.844473,198481.634,0.014844417,0.121321461,0.714285714,4242,4905
Puttalam,65.5146693,195610.92,0.013031564,0.085557173,0.6,1387,3605
Anuradhapura,75.0605327,159290.729,0.012831033,0.180479579,0.285714286,2266,7215
Polonnaruwa,73.4338747,118658.92,0.016321719,0.1251378,0.4,1145,3472
Badulla,28.9714444,68872.1871,0.012471015,0.135621198,0.6,2562,2871
Moneragala,73.8715037,215292.719,0.008052845,0.077624217,0.5,1887,5757
Ratnapura,36.1916168,123425.231,0.014362141,0.133837377,0.428571429,2664,3286
Kegalle,8.89730241,33579.6904,0.020780499,0.065707018,1,1925,1657