District,IAR,Gd
Colombo,0.8125,0.229357798
Gampaha,0.454545455,0.740740741
Kalutara,0.5,35.06679389
Kandy,0.777777778,5.174537988
Matale,1,50.96006144
Nuwara Eliya,1,8.230452675
Galle,1,13.33010179
Matara,1,21.35036496
Hambantota,0.6,55.83864119
Jaffna,0.4,20.41742287
Kilinochchi,0.5,63.39869281
Mannar,0.5,84.07843137
Vavunia,0.5,70.52341598
Mullaitivu,0.25,75.29734675
Batticaloa,0.6,72.10782478
Ampara,0.1,78.68155237
Trincomalee,0.4,73.95431623
Kurunegala,0.714285714,31.84447301
Puttalam,0.6,65.51466932
Anuradhapura,0.285714286,75.06053269
Polonnaruwa,0.4,73.43387471
Badulla,0.6,28.97144441
Moneragala,0.5,73.87150374
Ratnapura,0.428571429,36.19161677
Kegalle,1,8.897302414
,,