District,Gd,Hospital_Density,Average_Travel_Time,Total_hexagons
Colombo,0.2293578,0.018759019,66.51382243,66.76193925
Gampaha,0.74074074,0.003526093,66.08023333,66.82450016
Kalutara,35.0667939,0.001821494,47.12919324,82.19780863
Kandy,5.17453799,0.00363259,63.32740547,68.50557605
Matale,50.9600614,0.000971817,21.88073394,72.84176716
Nuwara Eliya,8.23045268,0.001719198,36.18759089,44.41976276
Galle,13.3301018,0.003092146,27.65811966,40.9913136
Matara,21.350365,0.002277904,57.52957234,78.88221524
Hambantota,55.8386412,0.001141987,43.16923775,99.00902094
Jaffna,20.4174229,0.001540832,47.94489504,68.36385877
Kilinochchi,63.3986928,0.000638978,29.7073922,93.10672397
Mannar,84.0784314,0.00048852,32.60884998,116.6877699
Vavunia,70.523416,0.000517063,60.23172906,130.7556621
Mullaitivu,75.2973468,0.000372995,49.37178663,124.6695064
Batticaloa,72.1078248,0.001143729,69.25882353,141.3677921
Ampara,78.6815524,0.000223414,55.26785714,133.949633
Trincomalee,73.9543162,0.000714541,41.68339416,115.6384249
Kurunegala,31.844473,0.001019368,65.08757962,96.93307199
Puttalam,65.5146693,0.000832178,66.20768527,131.7231867
Anuradhapura,75.0605327,0.0002772,36.01851852,111.0793284
Polonnaruwa,73.4338747,0.000576037,65.42401392,138.8584647
Badulla,28.9714444,0.001044932,61.64656887,90.6190582
Moneragala,73.8715037,0.000347403,50.51856287,124.390414
Ratnapura,36.1916168,0.000912964,65.09492732,101.2874571
Kegalle,8.89730241,0.002414001,63.66883117,72.56854758