District,General_NGI,Bed_Density,Specialist_Density
Colombo,170.227615,13.85263158,13.38947368
Gampaha,1330.81899,3.530377668,3.899835796
Kalutara,105237.662,0.995405819,3.751914242
Kandy,13321.7223,7.250341997,1.70998632
Matale,32653.6394,1.518026565,24.85768501
Nuwara Eliya,18840.0356,3.034482759,3.172413793
Galle,28039.9557,9.753874202,2.187784868
Matara,32285.3308,4.057279236,6.205250597
Hambantota,95873.4775,6.110283159,6.259314456
Jaffna,15248.1924,15.79831933,13.1092437
Kilinochchi,31186.6967,2.419354839,32.25806452
Mannar,32303.8184,2.325581395,18.60465116
Vavunia,18290.3207,4.06504065,52.03252033
Mullaitivu,127542.121,2.189781022,5.839416058
Batticaloa,155491.271,12.75167785,1.677852349
Ampara,115272.996,15.83892617,6.711409396
Trincomalee,114569.429,1.805869074,2.934537246
Kurunegala,198481.634,2.771493213,1.018099548
Puttalam,195610.92,1.465201465,2.93040293
Anuradhapura,159290.729,2.5,6.458333333
Polonnaruwa,118658.92,6.026785714,8.705357143
Badulla,68872.1871,3.211009174,4.587155963
Moneragala,215292.719,1.515151515,4.734848485
Ratnapura,123425.231,2.358078603,2.969432314
Kegalle,33579.6904,2.528735632,1.724137931