District,Bed_Density,Specialist_Density,Lethality Ratio
Colombo,13.85263158,13.38947368,0.020138074
Gampaha,3.530377668,3.899835796,0.018501243
Kalutara,0.995405819,3.751914242,0.009941106
Kandy,7.250341997,1.70998632,0.01721603
Matale,1.518026565,24.85768501,0.012457813
Nuwara Eliya,3.034482759,3.172413793,0.011828424
Galle,9.753874202,2.187784868,0.019843181
Matara,4.057279236,6.205250597,0.012136618
Hambantota,6.110283159,6.259314456,0.012663806
Jaffna,15.79831933,13.1092437,0.014253936
Kilinochchi,2.419354839,32.25806452,0.003404338
Mannar,2.325581395,18.60465116,0.007305936
Vavunia,4.06504065,52.03252033,0.01444495
Mullaitivu,2.189781022,5.839416058,0.005108992
Batticaloa,12.75167785,1.677852349,0.006894571
Ampara,15.83892617,6.711409396,0.007675611
Trincomalee,1.805869074,2.934537246,0.006846189
Kurunegala,2.771493213,1.018099548,0.014844417
Puttalam,1.465201465,2.93040293,0.013031564
Anuradhapura,2.5,6.458333333,0.012831033
Polonnaruwa,6.026785714,8.705357143,0.016321719
Badulla,3.211009174,4.587155963,0.012471015
Moneragala,1.515151515,4.734848485,0.008052845
Ratnapura,2.358078603,2.969432314,0.014362141
Kegalle,2.528735632,1.724137931,0.020780499