District,Population,ETU Institutions,ICU_Beds,OT_Counts,General Surgeons,Neuro Surgenons,Orthopaedic Surgens,General Physicians,Chest Physicans,Paediatricians,Cardiologists,Radiologists,Neurologists,Anaesthesiologists,Asthma_Tot_Cases,Isc_Heart_Tot_Cases,CV_Tot_Cases,Poisoning_Tot_Cases,Pneumonia_Tot_Cases,Tra_Injuries_Tot_Cases,Snake_Bites_Tot_Cases,Total Deaths
Colombo,2375000,16,329,58,46,11,23,67,10,40,23,44,14,40,9976,26445,8525,3188,"3,396","127,456",773,3620
Gampaha,2436000,11,86,21,14,0,5,25,6,12,5,11,3,14,12862,14035,6592,3600,"2,667","86,042",1761,2360
Kalutara,1306000,6,13,10,7,0,2,12,1,12,4,5,1,5,8414,11359,4207,2914,"1,284","60,672",1482,898
Kandy,1462000,9,106,18,4,0,2,10,0,3,1,3,0,2,9689,13468,7667,4371,"2,430","61,788",1249,1733
Matale,527000,2,8,6,17,2,11,37,6,14,9,14,4,17,3141,4858,1819,2194,699,"30,268",1170,550
Nuwara Eliya,725000,3,22,4,3,0,2,5,1,4,1,2,1,4,3130,3223,1778,3976,942,"25,628",466,463
Galle,1097000,5,107,17,4,0,1,7,1,3,2,4,0,2,10866,9305,4354,2363,"1,495","50,848",1754,1607
Matara,838000,3,34,6,7,0,3,13,3,11,3,6,2,4,6456,5838,2196,2022,774,"34,087",948,635
Hambantota,671000,5,41,4,6,0,3,9,1,8,1,7,1,6,8530,3833,1650,2115,878,"33,576",1614,661
Jaffna,595000,5,94,14,10,2,3,18,1,12,4,12,4,12,8409,4639,2264,3264,"1,370","25,771",586,660
Kilinochchi,124000,2,3,1,5,0,2,13,0,6,2,7,1,4,1114,561,190,1415,204,"6,427",370,35
Mannar,172000,2,4,1,7,0,1,8,1,6,1,5,1,2,547,516,306,1049,85,"3,712",355,48
Vavunia,123000,2,5,3,11,1,4,17,1,8,3,9,2,8,115,734,363,827,867,"4,740",1146,127
Mullaitivu,137000,4,3,2,1,0,2,2,0,2,0,0,0,1,675,331,117,1184,194,"5,992",315,45
Batticaloa,596000,5,76,8,1,0,2,2,1,1,1,1,0,1,3993,2764,1090,3812,723,"35,283",1069,336
Ampara,745000,10,118,12,9,1,4,12,3,5,3,6,1,6,10779,6261,2168,3646,1404,"51,003",1215,587
Trincomalee,443000,5,8,6,2,0,1,4,0,3,1,1,0,1,1392,1266,558,1698,305,"9,731",387,105
Kurunegala,1768000,7,49,10,3,0,1,4,1,3,1,3,0,2,16544,13495,6169,6621,"2,772","86,546",3729,2017
Puttalam,819000,5,12,7,4,0,2,8,1,3,1,2,0,3,4231,6489,1851,2813,"1,426","31,475",980,642
Anuradhapura,960000,7,24,7,8,2,4,16,1,13,4,6,2,6,6237,10542,3914,6673,"1,638","47,745",3681,1032
Polonnaruwa,448000,5,27,8,6,1,3,9,2,6,2,5,1,4,3429,4649,1707,2396,1047,"29,718",1167,720
Badulla,872000,5,28,9,5,1,2,12,2,5,3,4,2,4,8091,5572,2337,3880,"1,828","44,824",744,839
Moneragala,528000,4,8,2,3,0,2,7,2,2,3,2,1,3,5554,4102,2080,2270,1046,"25,886",1904,345
Ratnapura,1145000,7,27,7,6,1,2,8,1,5,2,4,1,4,11842,6680,4704,3197,"2,379","53,363",1388,1200
Kegalle,870000,4,22,7,2,0,1,5,1,1,1,2,0,2,5195,5011,2992,1658,"1,634","34,701",1647,1098