District,ICU_Beds,OT_Counts,General Surgeons,Neuro Surgenons,Orthopaedic Surgens,General Physicians,Cardiologists,Chest Physicans,Neurologists,Paediatricians,Anaesthesiologists,Radiologists,Total_Specialists,Asthma_Tot_Cases,Asthma_Tot_Deaths,Isc_Heart_Tot_Cases,Isc_Heart_Tot_Deaths,CV_Tot_Cases,CV_Tot_Deaths,Poisoning_Tot_Cases,Poisoning_Tot_Deaths,Pneumonia_Tot_Cases,Pneumonia_Tot_Deaths,Tra_Injuries_Tot_Cases,Tra_Injuries_Tot_Deaths,Snake_Bites_Tot_Cases,Snake_Bites_Tot_Deaths,Population,Resource Score,Total Cases,Total Deaths,Lethality Ratio,Gd,General_NGI,ETU Institutions,ETU_Scaled,ICU_Scaled,OT_Scaled,Radiologists_Scaleed,Trauma_Specialized,Trauma_Specialized_Scaled,Trauma_Resource_Score,NGI_Trauma,Snake_Bites_Specialized,Snake_Bites_Specialized_Scaled,Snake_Bites_Resource_Score,NGI_Snake_Bites,Asthma_Specialized_General,Asthma_Specialized_General_Norm,Asthma_Specialized_Child,Asthma_Specialized_Child_Norm,Asthma_Resource_Score,NGI_Asthma,IHD_Specialized,IHD_Specialized_Scaled,IHD_Resource_Score,NGI_IHD,CV_Specialized,CV_Specialized_Scaled,CV_Resource_Score,NGI_CV,Poisoning_Specialized,Poisoning_Specialized_Scaled,Poisoning_Resource_Score,NGI_Poisoning,Pneumonia_Specialized,Pneumonia_Specialized_Scaled,Pneumonia_Resource_Score,NGI_Pneumonia,Average_Resource_Score
Colombo,329,58,46,11,23,67,23,10,14,40,40,44,318,9976,59,26445,1435,8525,890,3188,13,"3,396",680,"127,456",542,773,1,2375000,242.2,"179,759",3620,0.020138074,0.2293578,170.227615,16,1,1,1,1,80,1,1,29233.0275,67,1,1,177.2935779,10,1,40,1,1,2288.073393,23,1,1,6065.36697,25,1,1,1955.27523,107,1,1,731.19266,77,1,1,778.899082,1
Gampaha,86,21,14,0,5,25,5,6,3,12,14,11,95,12862,12,14035,1000,6592,457,3600,14,"2,667",703,"86,042",172,1761,2,2436000,71,"127,559",2360,0.018501243,0.74074074,1330.81899,11,0.642857143,0.25460123,0.35087719,0.25,19,0.207792208,0.295608671,215605.363,25,0.353846154,0.420700465,3100.648925,6,0.6,12,0.282051282,0.510441808,18665.02169,5,0.217391304,0.285619766,36399.0786,3,0.12,0.254793679,19164.3803,39,0.346153846,0.387183982,6887.337271,31,0.386666667,0.397364885,4971.64101,0.364530465
Kalutara,13,10,7,0,2,12,4,1,1,12,5,5,49,8414,9,11359,384,4207,214,2914,18,"1,284",193,"60,672",78,1482,2,1306000,30.1,"90,332",898,0.009941106,35.0667939,105237.662,6,0.285714286,0.03067485,0.15789474,0.113636364,9,0.077922078,0.110603527,19236027.8,12,0.153846154,0.168772332,307923.6267,1,0.1,12,0.282051282,0.166620598,1770801.491,4,0.173913043,0.145802196,2731945.91,1,0.04,0.092904962,1587923.81,17,0.134615385,0.144047057,709383.7205,13,0.146666667,0.156270948,288126.2574,0.140717374
Kandy,106,18,4,0,2,10,1,0,0,3,2,3,25,9689,23,13468,673,7667,514,4371,15,"2,430",350,"61,788",156,1249,2,1462000,39.1,"100,662",1733,0.01721603,5.17453799,13321.7223,9,0.5,0.31595092,0.29824561,0.068181818,6,0.038961039,0.196702943,1625417.23,10,0.123076923,0.274728646,23525.02388,0,0,3,0.051282051,0.141851502,353440.7303,1,0.043478261,0.172807236,403285.646,0,0,0.1600602,247864.133,12,0.086538462,0.215113261,105144.1712,10,0.106666667,0.198564789,63325.06067,0.194261225
Matale,8,6,17,2,11,37,9,6,4,14,17,14,131,3141,15,4858,183,1819,115,2194,8,699,164,"30,268",63,1170,2,527000,68.9,"44,149",550,0.012457813,50.9600614,32653.6394,2,0,0.01533742,0.0877193,0.318181818,30,0.350649351,0.19106589,8072917.37,37,0.538461538,0.272298254,218963.1077,6,0.6,14,0.333333333,0.368200409,434723.9956,9,0.391304348,0.235653644,1050541.7,6,0.24,0.175384869,528531.066,54,0.490384615,0.297298254,376074.7779,43,0.546666667,0.338503439,105231.0813,0.268343537
Nuwara Eliya,22,4,3,0,2,5,1,1,1,4,4,2,23,3130,11,3223,119,1778,112,3976,27,942,153,"25,628",41,466,0,725000,17.1,"39,143",463,0.011828424,8.23045268,18840.0356,3,0.071428571,0.05828221,0.05263158,0.045454545,5,0.025974026,0.045234706,4663013.47,5,0.046153846,0.056161936,68291.64385,1,0.1,4,0.076923077,0.085498551,301307.0597,1,0.043478261,0.050445856,525845.948,1,0.04,0.049426093,296073.267,9,0.057692308,0.060557541,540383.2372,6,0.053333333,0.055871511,138766.364,0.057599456
Galle,107,17,4,0,1,7,2,1,0,3,2,4,24,10866,37,9305,589,4354,390,2363,22,"1,495",324,"50,848",243,1754,2,1097000,38.5,"80,985",1607,0.019843181,13.3301018,28039.9557,5,0.214285714,0.3190184,0.28070175,0.090909091,5,0.025974026,0.164099876,4130466.35,7,0.076923077,0.166550934,140383.4732,1,0.1,3,0.051282051,0.135015394,1072802.754,2,0.086956522,0.166069226,746896.941,0,0,0.136029701,426666.11,9,0.057692308,0.141276208,222960.6165,8,0.08,0.132940802,149905.0852,0.148854591
Matara,34,6,7,0,3,13,3,3,2,11,4,6,52,6456,10,5838,273,2196,143,2022,15,774,165,"34,087",25,948,4,838000,34.6,"52,321",635,0.012136618,21.350365,32285.3308,3,0.071428571,0.09509202,0.0877193,0.136363636,10,0.090909091,0.095977849,7582685.99,13,0.169230769,0.125062361,161840.4277,3,0.3,11,0.256410256,0.225076968,612403.6475,3,0.130434783,0.11408339,1092564.23,2,0.08,0.097024101,483234.588,17,0.134615385,0.11407335,378444.5531,16,0.186666667,0.144400977,114439.5473,0.130814142
Hambantota,41,4,6,0,3,9,1,1,1,8,6,7,42,8530,19,3833,190,1650,125,2115,14,878,281,"33,576",31,1614,1,671000,30.4,"52,196",661,0.012663806,55.8386412,95873.4775,5,0.214285714,0.11656442,0.05263158,0.159090909,9,0.077922078,0.106404134,17619975.3,9,0.107692308,0.141444752,637164.4468,1,0.1,8,0.179487179,0.14041102,3392209.584,1,0.043478261,0.093433467,2290715.73,1,0.04,0.10377734,887802.269,15,0.115384615,0.135400796,872215.8955,10,0.106666667,0.1396651,351027.759,0.122933801
Jaffna,94,14,10,2,3,18,4,1,4,12,12,12,78,8409,10,4639,228,2264,145,3264,9,"1,370",165,"25,771",100,586,3,595000,62,"46,303",660,0.014253936,20.4174229,15248.1924,5,0.214285714,0.2791411,0.22807018,0.272727273,15,0.155844156,0.218325373,2410060.72,18,0.246153846,0.243190858,49198.4357,1,0.1,12,0.282051282,0.17718151,969006.9196,4,0.173913043,0.21923377,432033.918,6,0.24,0.252245628,183254.099,30,0.259615385,0.254454594,261903.1831,19,0.226666667,0.238650041,117208.7346,0.229040254
Kilinochchi,3,1,5,0,2,13,2,0,1,6,4,7,40,1114,0,561,11,190,12,1415,3,204,6,"6,427",3,370,0,124000,20.9,"10,281",35,0.003404338,63.3986928,31186.6967,2,0,0,0,0.159090909,7,0.051948052,0.042045455,9691021.37,13,0.169230769,0.084615385,277225.1931,0,0,6,0.128205128,0.025641026,2754419.608,2,0.086956522,0.062994071,564603.399,1,0.04,0.053772727,224012.287,17,0.134615385,0.080769231,1110684.718,13,0.146666667,0.105151515,122997.1182,0.064998487
Mannar,4,1,7,0,1,8,1,1,1,6,2,5,32,547,1,516,18,306,10,1049,3,85,5,"3,712",11,355,0,172000,17.1,"6,570",48,0.007305936,84.0784314,32303.8184,2,0,0.00306748,0,0.113636364,8,0.064935065,0.040386224,7727861.25,8,0.092307692,0.046767343,638219.774,1,0.1,6,0.128205128,0.075947774,605559.577,1,0.043478261,0.037224169,1165491.99,1,0.04,0.043022588,598011.447,10,0.067307692,0.040998112,2151276.474,9,0.093333333,0.069700688,102533.6605,0.050578128
Vavunia,5,3,11,1,4,17,3,1,2,8,8,9,64,115,0,734,27,363,27,827,1,867,60,"4,740",11,1146,1,123000,33.9,"8,792",127,0.01444495,70.523416,18290.3207,2,0,0.00613497,0.03508772,0.204545455,16,0.168831169,0.098017265,3410429.7,17,0.230769231,0.116611609,693068.5138,1,0.1,8,0.179487179,0.086510933,93747.60591,3,0.130434783,0.094113236,550020.268,3,0.12,0.097872129,261565.781,25,0.211538462,0.128150071,455113.7948,18,0.213333333,0.148189255,412606.1762,0.1099235
Mullaitivu,3,2,1,0,2,2,0,0,0,2,1,0,8,675,0,331,5,117,19,1184,8,194,11,"5,992",1,315,1,137000,5.2,"8,808",45,0.005108992,75.2973468,127542.121,4,0.142857143,0,0.01754386,0,3,0,0.017794486,25355140.7,2,0,0.042857143,553435.4986,0,0,2,0.025641026,0.033699634,1508197.671,0,0,0.0160401,1553819.58,0,0,0.0160401,549235.318,3,0,0.028571429,3120322.049,2,0,0.028571429,511268.9844,0.026224903
Batticaloa,76,8,1,0,2,2,1,1,0,1,1,1,10,3993,5,2764,133,1090,53,3812,37,723,35,"35,283",71,1069,2,596000,22.6,"48,734",336,0.006894571,72.1078248,155491.271,5,0.214285714,0.22392638,0.12280702,0.022727273,3,0,0.094184342,27012774.4,2,0,0.10907099,706725.6329,1,0.1,1,0,0.115249781,2498282.792,1,0.043478261,0.101468858,1964208.85,0,0,0.084176367,933724.41,3,0,0.087642419,3136324.07,3,0.013333333,0.076461902,681829.197,0.095464951
Ampara,118,12,9,1,4,12,3,3,1,5,6,6,50,10779,8,6261,302,2168,93,3646,9,1404,144,"51,003",30,1215,1,745000,52.2,"76,476",587,0.007675611,78.6815524,115272.996,10,0.571428571,0.35276074,0.19298246,0.136363636,14,0.142857143,0.236746041,16950632.8,12,0.153846154,0.318903796,299770.9261,3,0.3,5,0.102564103,0.320074608,2649721.13,3,0.130434783,0.226143448,2178374.85,2,0.08,0.209084159,815851.408,18,0.144230769,0.271376323,1057103.791,15,0.173333333,0.263501182,419234.93,0.263689937
Trincomalee,8,6,2,0,1,4,1,0,0,3,1,1,13,1392,5,1266,45,558,20,1698,6,305,26,"9,731",3,387,0,443000,9.9,"15,337",105,0.006846189,73.9543162,114569.429,5,0.214285714,0.01533742,0.0877193,0.022727273,3,0,0.045449007,15834217.4,4,0.030769231,0.082737814,345915.838,0,0,3,0.051282051,0.054647295,1883796.945,1,0.043478261,0.056242294,1664693.19,0,0,0.038949804,1059479.23,5,0.019230769,0.057463089,2185305.924,4,0.026666667,0.062269673,362231.9717,0.056822711
Kurunegala,49,10,3,0,1,4,1,1,0,3,2,3,18,16544,46,13495,792,6169,365,6621,36,"2,772",572,"86,546",199,3729,7,1768000,21.8,"135,876",2017,0.014844417,31.844473,198481.634,7,0.357142857,0.14110429,0.15789474,0.068181818,4,0.012987013,0.110286819,24989493.6,4,0.030769231,0.150748331,787723.7428,1,0.1,3,0.051282051,0.145795411,3613522.246,1,0.043478261,0.109517108,3923963.75,0,0,0.096770073,2030054.83,6,0.028846154,0.116957123,1802731.215,5,0.04,0.119175365,740697.371,0.121321461
Puttalam,12,7,4,0,2,8,1,1,0,3,3,2,24,4231,14,6489,275,1851,96,2813,14,"1,426",207,"31,475",31,980,5,819000,16.5,"49,265",642,0.013031564,65.5146693,195610.92,5,0.214285714,0.02760736,0.10526316,0.045454545,6,0.038961039,0.068457221,30122084.9,8,0.092307692,0.115961033,553671.9911,1,0.1,3,0.051282051,0.105874289,2618129.177,1,0.043478261,0.063859759,6657160.9,0,0,0.048839996,2482957.88,11,0.076923077,0.094532461,1949518.314,9,0.093333333,0.101375455,921563.4951,0.085557173
Anuradhapura,24,7,8,2,4,16,4,1,2,13,6,6,62,6237,12,10542,404,3914,222,6673,36,"1,638",227,"47,745",120,3681,11,960000,37.9,"80,430",1032,0.012831033,75.0605327,159290.729,7,0.357142857,0.06441718,0.10526316,0.136363636,14,0.142857143,0.140104898,25579156.6,16,0.215384615,0.2277186,1213330.05,1,0.1,13,0.307692308,0.189408751,2471652.131,4,0.173913043,0.157839452,5013246.85,4,0.16,0.149214946,1968884.03,22,0.182692308,0.193927392,2582816.849,17,0.2,0.205143016,599333.8435,0.180479579
Polonnaruwa,27,8,6,1,3,9,2,2,1,6,4,5,39,3429,8,4649,261,1707,148,2396,33,1047,190,"29,718",75,1167,5,448000,27.3,"44,113",720,0.016321719,73.4338747,118658.92,5,0.214285714,0.07361963,0.12280702,0.113636364,10,0.090909091,0.109577538,19915650,9,0.107692308,0.132855795,645040.2265,2,0.2,6,0.128205128,0.175860132,1431846.741,2,0.086956522,0.104609089,3263522.2,2,0.08,0.10484229,1195620.81,13,0.096153846,0.115273377,1526350.39,11,0.12,0.132946379,578317.8717,0.1251378
Badulla,28,9,5,1,2,12,3,2,2,5,4,4,40,8091,13,5572,256,2337,167,3880,19,"1,828",335,"44,824",48,744,1,872000,28.3,"67,276",839,0.012471015,28.9714444,68872.1871,5,0.214285714,0.07668712,0.14035088,0.090909091,8,0.064935065,0.101199807,12832198.7,12,0.153846154,0.156546215,137689.4019,2,0.2,5,0.102564103,0.171038675,1370496.8,3,0.130434783,0.123133098,1311011.34,3,0.12,0.115528355,586057.557,16,0.125,0.133194566,843947.3737,14,0.16,0.148707673,356133.6105,0.135621198
Moneragala,8,2,3,0,2,7,3,2,1,2,3,2,25,5554,3,4102,116,2080,86,2270,16,1046,83,"25,886",34,1904,7,528000,14.7,"42,842",345,0.008052845,73.8715037,215292.719,4,0.142857143,0.01533742,0.01754386,0.045454545,5,0.025974026,0.036771062,52003876.2,7,0.076923077,0.084386166,1666758.307,2,0.2,2,0.025641026,0.135233376,3033883.674,3,0.130434783,0.084621419,3580900.82,1,0.04,0.044471221,3455104.75,10,0.067307692,0.072023529,2328243.516,9,0.093333333,0.085862747,899919.8828,0.077624217
Ratnapura,27,7,6,1,2,8,2,1,1,5,4,4,34,11842,15,6680,366,4704,268,3197,25,"2,379",433,"53,363",91,1388,2,1145000,24.5,"83,553",1200,0.014362141,36.1916168,123425.231,7,0.357142857,0.07361963,0.10526316,0.090909091,9,0.077922078,0.112399935,17182334.3,8,0.092307692,0.16802063,298974.9781,1,0.1,5,0.102564103,0.149303355,2870539.148,2,0.086956522,0.113731326,2125711.6,2,0.08,0.111691801,1524242.28,12,0.086538462,0.138075575,837980.2079,9,0.093333333,0.143639019,599418.2961,0.133837377
Kegalle,22,7,2,0,1,5,1,1,0,1,2,2,15,5195,48,5011,323,2992,219,1658,8,"1,634",449,"34,701",50,1647,1,870000,14,"52,838",1098,0.020780499,8.89730241,33579.6904,4,0.142857143,0.05828221,0.10526316,0.045454545,3,0,0.053812969,5737376.97,5,0.046153846,0.077590508,188861.4667,1,0.1,1,0,0.084399649,547650.2136,1,0.043478261,0.062851871,709356.487,0,0,0.047832108,556545.171,7,0.038461538,0.063304793,233027.0208,6,0.053333333,0.070157225,207223.0209,0.065707018